Corporation ID,Corp Name,Math Below Benchmark,Math Approaching Benchmark,Math At Benchmark,Math Total Tested,Math Benchmark %
8130,Warrick County School Corp,308,204,248,760,0.32631578947
8205,Salem Community Schools,73,17,11,101,0.10891089108
8215,East Washington School Corp,68,30,13,111,0.11711711711
8220,West Washington School Corp,30,24,17,71,0.23943661971
8305,Nettle Creek School Corporation,40,27,26,93,0.27956989247
8355,Western Wayne Schools,41,17,7,65,0.10769230769
8360,Centerville-Abington Com Schs,46,36,32,114,0.28070175438
8375,Northeastern Wayne Schools,64,26,14,104,0.13461538461
8385,Richmond Community Schools,186,46,52,284,0.18309859154
8425,Southern Wells Com Schools,30,16,16,62,0.25806451612
8435,Norwell Community Schools,66,48,61,175,0.34857142857
8445,MSD Bluffton-Harrison,48,22,30,100,0.3
8515,North White School Corp,46,9,4,59,0.06779661016
8525,Frontier School Corporation,23,6,11,40,0.275
8535,Tri-County School Corporation,23,23,13,59,0.22033898305
8565,Twin Lakes School Corp,68,35,34,137,0.24817518248
8625,Smith-Green Community Schools,48,24,24,96,0.25
8635,Purdue Polytechnic High Sch North,42,7,14,63,0.22222222222
8655,Excel Center - Bloomington,3,1,1,5,0.2
8665,Whitley County Con Schools,132,88,67,287,0.23344947735
8690,Dynamic Minds Academy,2,0,1,3,0.33333333333
8940,James and Rosemary Phalen Leadership Academy High School,104,5,2,111,0.01801801801
8960,Purdue Polytechnic High School South Bend,34,5,6,45,0.13333333333
8970,GEO Next Generation Academy,34,5,1,40,0.025
9000,Phalen Virtual Leadership Academy,27,1,1,29,0.03448275862
9015,Purdue Polytechnic High School Ind,73,18,16,107,0.14953271028
9035,Indiana Connections Career Academy,124,29,16,169,0.09467455621
9050,Excel Center - Clarksville,32,0,1,33,0.0303030303
9100,Indiana Department of Correction,26,2,0,28,0.0
9120,Hoosier College and Career Academy,224,25,6,255,0.02352941176
9135,KIPP Indy Legacy High,56,7,1,64,0.015625
9140,BELIEVE Circle City High School,36,18,11,65,0.16923076923
9145,Herron-Riverside High School,43,24,21,88,0.23863636363
9160,Excel Center - Muncie,9,0,0,9,0.0
9170,Rooted School Indianapolis,13,1,0,14,0.0
9200,Archdiocese of Indianapolis,337,319,481,1137,0.42304309586
9205,Diocese of Gary,112,97,99,308,0.32142857142
9210,Diocese of Lafayette Catholic Sch,22,49,191,262,0.72900763358
9215,Diocese of Evansville,78,83,152,313,0.48562300319
